pokedex_number,name,generation,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,release_date,speed_class,strength_category
1,Bulbasaur,1,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,None,Chlorophyll,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,1996-01-01,Slow,weak
2,Ivysaur,1,Seed Pokémon,2,Grass,Poison,1.0,13.0,2,Overgrow,None,Chlorophyll,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,1996-01-01,Slow,weak
3,Venusaur,1,Seed Pokémon,2,Grass,Poison,2.0,100.0,2,Overgrow,None,Chlorophyll,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,1996-01-01,Fast,Strong
3,Mega Venusaur,1,Seed Pokémon,2,Grass,Poison,2.4,155.5,1,Thick Fat,None,None,625.0,80.0,100.0,123.0,122.0,120.0,80.0,45.0,1996-01-01,Fast,Strong
4,Charmander,1,Lizard Pokémon,1,Fire,None,0.6,8.5,2,Blaze,None,Solar Power,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,1996-01-01,Slow,weak
5,Charmeleon,1,Flame Pokémon,1,Fire,None,1.1,19.0,2,Blaze,None,Solar Power,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,1996-01-01,Fast,weak
6,Charizard,1,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,None,Solar Power,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,1996-01-01,Fast,Strong
6,Mega Charizard X,1,Flame Pokémon,2,Fire,Dragon,1.7,110.5,1,Tough Claws,None,None,634.0,78.0,130.0,111.0,130.0,85.0,100.0,45.0,1996-01-01,Fast,Strong
6,Mega Charizard Y,1,Flame Pokémon,2,Fire,Flying,1.7,100.5,1,Drought,None,None,634.0,78.0,104.0,78.0,159.0,115.0,100.0,45.0,1996-01-01,Fast,Strong
7,Squirtle,1,Tiny Turtle Pokémon,1,Water,None,0.5,9.0,2,Torrent,None,Rain Dish,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,1996-01-01,Slow,weak
